"gs_name","gene_list"
"Arachidonic acid metabolism","ZADH2,ZADH2,ZADH2,ZADH2"
"Acyl-CoA hydrolysis","ACOT7,ACOT1,ACOT7,BAAT,ACOT13,ACOT1,ACOT7,BAAT,ACOT13,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,ACOT1,ACOT7,BAAT,ACOT1,ACOT7,BAAT,ACOT1,BAAT,ACOT6,ACOT1,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,ACOT1,ACOT7,BAAT,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,ACOT1,ACOT7,BAAT,ACOT13,THEM4,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,ACOT1,BAAT,ACOT6,BAAT,ACOT6,BAAT,ACOT6,ACOT8,ACOT4,ACOT8,ACOT4,ACOT12,ACOT7,ACOT7,ACOT7"
"Acylglycerides metabolism","MGLL,ABHD12,SDC1,ABHD6,LPL,GPIHBP1,LPL,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,MGLL,ABHD12,ABHD6,GPD2,DGKG,DGKA,DGKD,DGKH,DGKB,DGKQ,DGKZ,DGKE,DGKI,DGKK,DGAT2,MOGAT3,MOGAT1,MOGAT2,DGAT1,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,PNPLA4,LIPE,PNPLA3,LIPG,AADAC,DAGLA,DAGLB,LIPC,CEL,PNLIP,PNPLA2,LIPF,PNLIPRP1,PNLIPRP3,PNLIPRP2,MGLL,ABHD12,ABHD6,MGLL,ABHD12,ABHD6,MGLL,ABHD12,ABHD6,MGLL,ABHD12,ABHD6,MGLL,ABHD12,ABHD6,MGLL,ABHD12,ABHD6,GNPAT"
"Alanine, aspartate and glutamate metabolism","GLUD1,GLUD2,GLUD1,GLUD2,ASS1,ASL,ALDH4A1,GOT2,GOT1,GOT1L1,ASRGL1,ASPG,GOT2,GSR,CPS1,CPS1,GLUL,GLS,GLS2,GPT,ASNS,GPT2,NIT2,NIT2,GSR,ASRGL1,ASPG,KYAT1,AADAT,KYAT3,LDHA,GAD1,GAD2,ABAT,GOT2,TAT,NAGS,ASPA,ACY3,GPT,GGCT,GGCT,DDO,NAT8L,ASPA,ACY3,ALDH5A1,GGACT,GGACT"
"Alkaloids biosynthesis",""
"Amino sugar and nucleotide sugar metabolism","CHIT1,CHIA,HEXB,HEXD,HEXA,UXS1,UAP1,UAP1L1,GALE,GNPDA1,GNPDA2,GFPT2,GFPT1,GCK,HKDC1,HK1,HK2,HK3,NAGK,GNE,GNE,RENBP,GNE,NANS,NANP,CMAS,CMAS,GNPNAT1,AMDHD2,CEMP1,PGM3,TGDS,GALE,NANS,NPL,MANSC1,CHI3L1,CHIT1,CHIA,CHIA,CMAS,UXS1"
"Aminoacyl-tRNA biosynthesis","YARS1,AARS1,RARS1,NARS1,DARS1,CARS1,QARS1,EPRS1,GARS1,HARS1,IARS1,LARS1,KARS1,MARS1,MTFMT,EPRS1,SARS1,TARS1,WARS1,VARS1"
"Androgen metabolism","CYP17A1,CYP17A1,SULT2B1,STS,CYP17A1,CYP17A1,BCO2,CYP17A1,BCO2,SULT2B1,STS,HSD3B1,HSD3B2,HSD3B1,HSD3B2,SULT1E1,HSD3B1,HSD3B2,HSD3B1,HSD3B2,HSD17B6,HSD17B2,HSD17B1,HSD17B3,HSD17B7,HSD17B12,AKR1C3,HSD17B11,HSD17B8,HSD17B6,HSD17B2,HSD17B1,HSD17B3,HSD17B7,HSD17B12,AKR1C3,HSD17B11,HSD17B8,SRD5A3,SRD5A1,SRD5A2,SRD5A3,SRD5A1,SRD5A2,AKR1C4,HSD3B1,HSD3B2,HSD3B1,HSD3B2,AKR1D1,SRD5A3,SRD5A1,SRD5A2,AKR1C2,AKR1C1,AKR1C3,AKR1C4,AKR1C2,AKR1C1,AKR1C3,AKR1C4,AKR1C2,AKR1C1,AKR1C3,AKR1C4,AKR1C2,AKR1C1,AKR1C3,AKR1C4,STS,HSD3B1,HSD3B2,HSD3B1,HSD3B2,STS,HSD3B1,HSD3B2,STS,STS,STS,STS"
"Arachidonic acid metabolism","CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP4A22,CYP4A11,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,EPHX2,EPHX1,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,EPHX2,EPHX1,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,EPHX2,EPHX1,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,EPHX2,EPHX1,ALOX5,ALOX5,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,ALOX12,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,ALOX12,ALOX12,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,ALOX5,DHRS4,CBR1,CBR3,ALOX12,DHRS4,CBR1,CBR3,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,ALOX15,ALOX15B,ALOX15,ALOX15B,ALOX15,ALOX15B,ALOX15,ALOX15B,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP2U1,CYP3A4,CYP3A7,CYP2C19,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,PTGS2,PTGS1,PTGS2,PTGS1,PTGS2,PTGS1,ALOX5,ALOX5,ALOX5,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,ALOX12,ALOX12,ALOX5,ALOX5,ALOX5,ALOX5,ALOX5,ALOX5,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,ALOX12,ALOX12,ALOX12,ALOX12,ALOX12,ALOX12,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,GPX7,PRDX6,GPX8,GPX4,GPX2,GPX6,GPX3,GPX5,GPX1,MGST1,GSTO2,GSTP1,MGST2,GSTZ1,GSTT2B,GSTM1,GSTM5,GSTM3,MGST3,PTGES,GSTO1,HPGDS,GSTM4,GSTA4,GSTA3,GSTA5,GSTK1,GSTM2,GSTA1,GSTA2,MGST1,GSTO2,GSTP1,MGST2,GSTZ1,GSTT2B,GSTM1,GSTM5,GSTM3,MGST3,PTGES,GSTO1,HPGDS,GSTM4,GSTA4,GSTA3,GSTA5,GSTK1,GSTM2,GSTA1,GSTA2,MGST1,GSTO2,GSTP1,MGST2,GSTZ1,GSTT2B,GSTM1,GSTM5,GSTM3,MGST3,PTGES,GSTO1,HPGDS,GSTM4,GSTA4,GSTA3,GSTA5,GSTK1,GSTM2,GSTA1,GSTA2,EPHX2,EPHX1,EPHX2,EPHX1,EPHX2,EPHX1,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,ALOX12,ALOX12,ALOX12,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,ACAA1,HSD17B10,HADHA,ACOX3,ACOT7,ACOT8,ACOT2,ECHS1,SLC27A1,HSD17B4,BAAT,HADHB,HADH,SLC27A2,SLC27A3,AASDH,ACOX1,ACSF2,SLC27A4,ACAA2,ACSF3,ACOT4,ACOT1,AMACR,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,CYP4F11,CYP4F22,CYP4F2,CYP4F8,CYP4F3,ALOX12,PTGR1,HSD17B12,TECRL,ALOX5,ALOX5,FAAH,ACOT7,ACOT2,PPT1,BAAT,ACOT4,ACOT1,ACOT6,PPT2,EGFL8,ALOX5,CYP3A43,CYP2D6,CYP3A5,CYP2C18,CYP2E1,CYP2J2,CYP19A1,CYP1B1,CYP2C9,CYP2C8,CYP1A1,CYP1A2,CYP4B1,CYP3A4,CYP3A7,CYP2S1,CYP4F11,CYP4Z1,CYP4F12,CYP4X1,CYP4F8,CYP2B6,CYP2F1,CYP2A13,CYP2A7,CYP2A6,CBR1,CBR3,DHRS4,DHRS4,CYP4F22,CYP4F2,CYP4F3,ALOX5,DHRS4,DHRS4,ALOX5,CYP4F22,CYP4F2,CYP4F3,GPX4,GPX1,GPX4,MGST1,GSTZ1,GSTK1,ALOX12"
"Arginine and proline metabolism","ALDH4A1,OAT,OTC,ARG1,ALDH4A1,ALDH4A1,PYCR3,PYCR2,PYCR3,PYCR2,PYCR2,PYCR1,ALDH18A1,ALDH18A1,CA5B,CA5A,NOS2,NOS1,NOS3,AMD1,SRM,SMS,SRM,NOS2,NOS1,NOS3,AZIN2,ODC1,ODC1,AOC1,AOC3,AOC2,AGMAT,GAMT,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,P4HA2,P4HA1,P4HA3,P4HA2,P4HA1,P4HA3,PYCR3,PYCR2,PYCR1,PYCR3,PYCR2,PYCR1,PYCR3,PYCR2,PYCR1,PYCR3,PYCR2,PYCR1,ALDH4A1,ALDH4A1,GOT1,GOT2,HOGA1,MTAP,SAT1,SAT2,SAT1,SAT2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,SAT1,SAT2,SAT1,SAT2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,AOC1,AOC3,AOC2,FAR2,ALDH8A1,FAR1,FAR2,ALDH8A1,FAR1,SMOX,PAOX,SMOX,PAOX,SMOX,PAOX,SMOX,PAOX,SMOX,PAOX,SMOX,PAOX,DHPS,DHPS,DHPS,FAR2,ALDH8A1,FAR1,ALDH4A1,ALDH4A1,GOT2,NAGS,ACY1,ARG2,CKM,CKMT2,CKB,CKMT1A,CKMT1B,SARDH,SAT1,SAT2,AOC1,MAOB,AOC3,AOC2,MAOA,ALDH3A2,ALDH2,ALDH1B1,ALDH9A1,ALDH7A1,AOC1,AOC2,DAO,PYCR2,PYCR1,PRODH2,PRODH,PRODH2,DAO,ALDH2,ALDH1B1,ALDH4A1,NOS2,NOS1,NOS3,GOT1"
